SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sh600343,20230811,20230810,6.38206348,6.38206348,10.41,807.54588183
sh600345,20230811,20230810,1.98,1.98,19.6,807.54588183
sh600367,20230811,20230810,2.932366,2.932366,13.94,807.54588183
sh600378,20230811,20230810,9.11473807,9.11473807,38.27,807.54588183
sh600379,20230811,20230810,3.30201564,3.30201564,10.21,807.54588183
sh600388,20230811,20230810,10.81094891,10.81094891,17.23,807.54588183
sh600389,20230811,20230810,4.4348337,4.4348337,24.49,807.54588183
sh600392,20230811,20230810,17.5282657,17.5282657,12.73,807.54588183
sh600418,20230811,20230810,21.84009791,21.84009791,14.25,807.54588183
sh600435,20230811,20230810,14.98138483,14.98138483,10.5,807.54588183
sh600438,20230811,20230810,45.01967811,45.01967811,35.2,807.54588183
sh600446,20230811,20230810,9.40815005,9.40815005,14.98,807.54588183
sh600449,20230811,20230810,4.78181042,4.78181042,16.27,807.54588183
sh600456,20230811,20230810,4.77777539,4.77777539,33.33,807.54588183
sh600460,20230811,20230810,14.16071845,14.16071845,29.74,807.54588183
sh600476,20230811,20230810,1.6107,1.6107,16.45,807.54588183
sh600481,20230811,20230810,18.70661251,18.70661251,11.33,807.54588183
sh600487,20230811,20230810,24.66734657,24.66734657,14.64,807.54588183
sh600501,20230811,20230810,4.319286,4.319286,13.85,807.54588183
sh600508,20230811,20230810,7.22718,7.22718,14.36,807.54588183
sh600511,20230811,20230810,7.54502998,7.54502998,32.55,807.54588183
sh600519,20230811,20230810,12.561978,12.561978,1875,807.54588183
sh600520,20230811,20230810,1.5843,1.5843,13.67,807.54588183
sh600551,20230811,20230810,4.84325171,4.84325171,11.16,807.54588183
sh600560,20230811,20230810,2.236455,2.236455,13.08,807.54588183
sh600563,20230811,20230810,2.25,2.25,135.6,807.54588183
sh600571,20230811,20230810,4.66795809,4.66795809,10.58,807.54588183
sh600580,20230811,20230810,13.11366126,13.11366126,12.53,807.54588183
sh600585,20230811,20230810,39.99702579,39.99702579,25.91,807.54588183
sh600588,20230811,20230810,34.33121989,34.33121989,19.32,807.54588183
sh600593,20230811,20230810,1.288,1.288,15.98,807.54588183
sh600596,20230811,20230810,11.4574654,11.4574654,11.29,807.54588183
sh600598,20230811,20230810,17.77679909,17.77679909,14.33,807.54588183
sh600610,20230811,20230810,7.10914605,7.10914605,13.27,807.54588183
sh600621,20230811,20230810,10.60899292,10.60899292,13.15,807.54588183
sh600633,20230811,20230810,12.65730523,12.65730523,14.14,807.54588183
sh600636,20230811,20230810,4.40449035,4.40449035,11.22,807.54588183
sh600639,20230811,20230810,8.50236703,8.50236703,13.13,807.54588183
sh600663,20230811,20230810,37.12195457,37.12195457,10.78,807.54588183
sh600694,20230811,20230810,2.93718653,2.93718653,19.2,807.54588183
sh600699,20230811,20230810,14.08701543,14.08701543,18.78,807.54588183
